company_name,year,cluster_label,cluster,financial_health_score,net_profit_margin_percentage,gross_profit_margin_percentage,ebitda_margin_percentage,current_ratio,debt_equity_ratio,roe,roa,roi,asset_turnover_ratio,cfo_percentage,cfi_percentage,cff_percentage,revenue,net_income,market_capitalization
BCS,2020,At Risk,1,61.93479426582535,7.010921,100.0,0.003578,1.0,6.0327,3.6796,0.1824,0.602,0.046275,137.371285,-43.897649,6.526364,27947.54,1959.38,34.66
BCS,2021,At Risk,1,61.954708664603075,29.056513,100.0,0.003315,1.0,6.3396,10.2918,0.522,1.6696,0.042575,91.787367,8.011861,0.200771,30169.69,8766.26,43.6
BCS,2022,At Risk,1,62.17513075964949,20.127426,100.0,0.00324,1.0,7.1602,8.624,0.3946,1.284,0.044156,326.680395,-234.201447,7.521053,30868.08,6212.95,32.53
GOOG,2009,Healthy,0,62.544429376960885,27.567545,62.606232,41.588094,10.6178,0.0,18.1091,16.1,18.1091,0.656899,608.888889,-524.117647,15.228758,23651.0,6520.0,195.27
GOOG,2010,Healthy,0,62.23043802313726,29.006514,64.472562,40.165752,4.1579,0.0749,18.3928,14.7016,18.3928,0.589907,321.095335,-309.475514,88.38018,29321.0,8505.0,188.54
GOOG,2011,Healthy,0,61.46341373035935,25.687904,65.207756,35.860704,5.9192,0.0723,16.7461,13.4167,15.9281,0.60795,-396.974652,518.969747,-21.995094,37905.0,9737.0,207.65
GOOG,2012,Healthy,0,62.23910292286906,23.321532,62.6925,36.482113,4.2166,0.0772,16.1096,12.3169,15.4652,0.595963,346.807179,-272.45409,25.646912,46039.0,10737.0,230.54
GOOG,2013,Healthy,0,62.34908423743748,22.934491,60.386534,34.838524,4.5817,0.0601,15.0729,11.8644,14.6965,0.599841,452.558816,-331.772981,-20.785836,55519.0,12733.0,371.53
GOOG,2014,Healthy,0,41.22903145814054,21.417857,61.074832,32.537386,4.6878,0.0504,13.1138,10.5429,12.7185,0.604989,-19511.864407,17843.220339,1768.644068,66001.0,14136.0,354.75
GOOG,2015,Healthy,0,59.8033120079524,21.104429,62.442492,32.568777,4.6667,0.0434,13.5859,11.0863,13.3643,0.597268,-1948.093842,1738.343109,309.750733,74989.0,15826.0,521.67
GOOG,2016,Healthy,0,60.767811097816434,21.577012,61.075417,33.077809,6.2908,0.0283,14.0093,11.6289,13.6237,0.631402,-1041.201965,900.462294,240.739671,90272.0,19478.0,530.84
GOOG,2017,Healthy,0,60.32664198264228,11.422128,58.88052,29.85251,5.1403,0.026,8.3028,6.4178,8.0922,0.708488,-1422.20092,1204.026074,318.174847,110855.0,12662.0,726.47
